1	1	1
2	2	-1
3	3	-1
4	4	-3
5	5	1
6	6	1
7	7	-1
8	8	1
9	9	-1
10	10	-1
11	11	-3
12	12	-1
13	13	1
14	14	1
15	15	-1
16	16	-1
17	17	1
18	18	3
19	19	1
20	20	1
21	21	1
22	22	1
23	23	1
24	24	1
25	25	1
26	26	-1
27	27	1
28	28	3
29	29	3
30	30	1
31	31	-1
32	32	-1
33	33	-1
34	34	1
35	35	-1
36	36	1
37	37	-3
38	38	3
39	39	1
40	40	1
41	41	1
42	42	1
43	43	-3
44	44	1
45	45	1
46	46	-3
47	47	-1
48	48	-3
49	49	1
50	50	1
51	51	1
52	52	1
53	53	1
54	54	1
55	55	3
56	56	1
57	57	1
58	58	-1
59	59	3
60	60	-1
61	61	1
62	62	1
63	63	-3
64	64	1
65	65	-1
66	66	-1
67	67	-1
68	68	-1
69	69	3
70	70	1
71	71	-3
72	72	1
73	73	-1
74	74	1
75	75	1
76	76	-1
77	77	-1
78	78	3
79	79	-3
80	80	-1
81	81	-1
82	82	-3
83	83	3
84	84	-1
85	85	1
86	86	1
87	87	1
88	88	1
89	89	1
90	90	1
91	91	1
92	92	-1
93	93	-3
94	94	1
95	95	-1
96	96	-1
97	97	-3
98	98	3
99	99	1
100	100	1
101	101	-1
102	102	1
103	103	-1
104	104	3
105	105	-3
106	106	-1
107	107	-3
108	108	3
109	109	-1
110	110	-1
111	111	-3
112	112	1
113	113	-1
114	114	-1
115	115	1
116	116	3
117	117	3
118	118	3
119	119	-3
120	120	3
121	121	-1
122	122	3
123	123	-3
124	124	1
125	125	3
126	126	3
127	127	-3
128	128	1
129	129	1
130	130	1
131	131	1
132	132	1
133	133	-1
134	134	1
135	135	1
136	136	-1
137	137	1
138	138	-3
139	139	-1
140	140	1
141	141	-1
142	142	1
143	143	1
144	144	-3
145	145	1
146	146	-1
147	147	3
148	148	-1
149	149	1
150	150	-3
151	151	3
152	152	1
153	153	3
154	154	1
155	155	-3
156	156	-1
157	157	-1
158	158	-1
159	159	1
160	160	1
161	161	-3
162	162	-1
163	163	1
164	164	-3
165	165	1
166	166	-1
167	167	-1
168	168	-1
169	169	-3
170	170	-1
171	171	1
172	172	1
173	173	-1
174	174	1
175	175	-1
176	176	1
177	177	1
178	178	-1
179	179	-3
180	180	1
181	181	1
182	182	-1
183	183	-1
184	184	-3
185	185	1
186	186	3
187	187	1
188	188	-1
189	189	1
190	190	-1
191	191	-1
192	192	1
193	193	-3
194	194	1
195	195	-1
196	196	3
197	197	-1
198	198	-1
199	199	1
200	200	1
201	201	1
202	202	1
203	203	1
204	204	3
205	205	-1
206	206	-3
207	207	-1
208	208	3
209	209	-3
210	210	-1
211	211	-1
212	212	-3
213	213	-1
214	214	1
215	215	1
216	216	1
217	217	1
218	218	-3
219	219	3
220	220	1
221	221	-1
222	222	-1
223	223	1
224	224	3
225	225	1
226	226	-3
227	227	1
228	228	-1
229	229	1
230	230	1
231	231	1
232	232	1
233	233	-3
234	234	-3
235	235	1
236	236	-1
237	237	-1
238	238	-3
239	239	-3
240	240	1
241	241	1
242	242	-1
243	243	-1
244	244	1
245	245	1
246	246	-1
247	247	-1
248	248	1
249	249	-1
250	250	1
251	251	3
252	252	-1
253	253	-1
254	254	1
255	255	1
256	256	-1
257	257	1
258	258	-1
259	259	-1
260	260	1
261	261	1
262	262	-1
263	263	1
264	264	1
265	265	-1
266	266	-1
267	267	3
268	268	-1
269	269	3
270	270	3
271	271	-1
272	272	1
273	273	-3
274	274	-1
275	275	1
276	276	-3
277	277	-1
278	278	-1
279	279	1
280	280	-1
281	281	3
282	282	1
283	283	1
284	284	-1
285	285	-3
286	286	1
287	287	-1
288	288	1
289	289	1
290	290	-1
291	291	-1
292	292	-1
293	293	1
294	294	-1
295	295	1
296	296	1
297	297	-1
298	298	1
299	299	1
300	300	-1
301	301	-1
302	302	1
303	303	1
304	304	1
305	305	-3
306	306	-1
307	307	-1
308	308	1
309	309	-3
310	310	1
311	311	-3
312	312	-3
313	313	-1
314	314	-1
315	315	-1
316	316	-1
317	317	-1
318	318	1
319	319	1
320	320	-1
321	321	1
322	322	-1
323	323	1
324	324	-1
325	325	1
326	326	-1
327	327	-1
328	328	1
329	329	1
330	330	1
331	331	-1
332	332	1
333	333	-1
334	334	1
335	335	1
336	336	-3
337	337	3
338	338	1
339	339	1
340	340	3
341	341	-1
342	342	1
343	343	3
344	344	-1
345	345	1
346	346	3
347	347	-1
348	348	-1
349	349	1
350	350	1
351	351	-3
352	352	-3
353	353	1
354	354	-3
355	355	-1
356	356	3
357	357	-1
358	358	-1
359	359	-1
360	360	-1
361	361	-1
362	362	-1
363	363	1
364	364	3
365	365	-1
366	366	-1
367	367	-1
368	368	-1
369	369	-1
370	370	1
371	371	3
372	372	-3
373	373	-3
374	374	1
375	375	-1
