1	1	1
2	2	-1
3	3	1
4	4	1
5	5	1
6	6	-1
7	7	-3
8	8	1
9	9	-3
10	10	3
11	11	3
12	12	3
13	13	1
14	14	1
15	15	-1
16	16	-1
17	17	3
18	18	3
19	19	1
20	20	1
21	21	1
22	22	-1
23	23	-1
24	24	-1
25	25	1
26	26	-1
27	27	1
28	28	-1
29	29	-1
30	30	3
31	31	1
32	32	3
33	33	1
34	34	-3
35	35	3
36	36	-1
37	37	1
38	38	1
39	39	1
40	40	1
41	41	-1
42	42	1
43	43	1
44	44	-1
45	45	-1
46	46	1
47	47	-1
48	48	-1
49	49	3
50	50	1
51	51	1
52	52	1
53	53	1
54	54	-1
55	55	3
56	56	-1
57	57	-1
58	58	-1
59	59	-1
60	60	1
61	61	1
62	62	-3
63	63	1
64	64	1
65	65	1
66	66	3
67	67	-3
68	68	-1
69	69	1
70	70	1
71	71	-1
72	72	1
73	73	1
74	74	3
75	75	3
76	76	-1
77	77	1
78	78	1
79	79	3
80	80	1
81	81	-3
82	82	-1
83	83	-1
84	84	1
85	85	-1
86	86	3
87	87	-1
88	88	1
89	89	-1
90	90	1
91	91	1
92	92	-1
93	93	3
94	94	1
95	95	-1
96	96	3
97	97	-1
98	98	-1
99	99	-3
100	100	-1
101	101	-1
102	102	1
103	103	-3
104	104	1
105	105	3
106	106	-1
107	107	1
108	108	1
109	109	1
110	110	3
111	111	1
112	112	1
113	113	3
114	114	3
115	115	1
116	116	3
117	117	-1
118	118	-1
119	119	-3
120	120	-1
121	121	3
122	122	3
123	123	-1
124	124	1
125	125	1
126	126	3
127	127	1
128	128	-1
129	129	3
130	130	1
131	131	1
132	132	-1
133	133	-1
134	134	-1
135	135	1
136	136	3
137	137	1
138	138	3
139	139	-1
140	140	1
141	141	1
142	142	-1
143	143	1
144	144	1
145	145	1
146	146	-1
147	147	1
148	148	-1
149	149	1
150	150	-1
151	151	1
152	152	-1
153	153	-1
154	154	1
155	155	-1
156	156	1
157	157	1
158	158	-1
159	159	-1
160	160	3
161	161	-1
162	162	-1
163	163	-1
164	164	3
165	165	-1
166	166	3
167	167	1
168	168	1
169	169	-3
170	170	1
171	171	-1
172	172	-1
173	173	-1
174	174	-1
175	175	-1
176	176	1
177	177	-2
178	178	-2
179	179	2
180	180	-2
181	181	-2
182	182	-2
183	183	-2
184	184	2
185	185	-2
186	186	-2
187	187	2
188	188	2
189	189	-2
190	190	2
191	191	2
192	192	-2
193	193	2
194	194	2
195	195	2
196	196	-2
197	197	2
198	198	2
199	199	-2
200	200	-2
201	201	2
202	202	2
203	203	-2
204	204	-2
205	205	2
206	206	2
207	207	2
208	208	2
209	209	2
210	210	-2
211	211	-2
212	212	2
213	213	-2
214	214	2
215	215	2
216	216	-2
217	217	-2
218	218	-2
219	219	-2
220	220	2
221	221	2
222	222	2
223	223	-2
224	224	2
225	225	-2
226	226	2
227	227	-2
228	228	-2
229	229	2
230	230	2
231	231	2
232	232	2
233	233	-2
234	234	-2
235	235	-2
236	236	-2
237	237	-2
238	238	-2
239	239	-2
240	240	-2
241	241	2
242	242	2
243	243	-2
244	244	2
245	245	2
246	246	2
247	247	2
248	248	-2
249	249	-2
250	250	2
251	251	2
252	252	2
253	253	-2
254	254	-2
255	255	2
256	256	-2
257	257	2
258	258	2
259	259	-2
260	260	-2
261	261	2
262	262	-2
263	263	2
264	264	2
265	265	2
266	266	2
267	267	2
268	268	-2
269	269	-2
270	270	2
271	271	-2
272	272	2
273	273	-2
274	274	-2
275	275	-2
276	276	2
277	277	-2
278	278	-2
279	279	-2
280	280	2
281	281	2
282	282	2
283	283	2
284	284	-2
285	285	-2
286	286	-2
287	287	-2
288	288	-2
289	289	2
290	290	-2
291	291	-2
292	292	-2
293	293	2
294	294	-2
295	295	2
296	296	-2
297	297	-2
298	298	-2
299	299	2
300	300	2
301	301	-2
302	302	-2
303	303	2
304	304	2
305	305	-2
306	306	2
307	307	2
308	308	2
309	309	2
310	310	2
311	311	-2
312	312	-2
313	313	-2
314	314	-2
315	315	-2
316	316	2
317	317	-2
318	318	-2
319	319	-2
320	320	2
321	321	2
322	322	2
323	323	2
324	324	2
325	325	2
326	326	2
327	327	2
328	328	2
329	329	2
330	330	-2
331	331	-2
332	332	-2
333	333	-2
334	334	2
335	335	-2
336	336	2
337	337	-2
338	338	-2
339	339	2
340	340	2
341	341	2
342	342	2
343	343	2
344	344	2
345	345	-2
346	346	2
347	347	-2
348	348	2
349	349	-2
350	350	-2
351	351	-2
352	352	-2
1	7	1
1	10	1
1	14	1
1	33	1
1	90	1
1	118	1
1	296	2
1	301	-2
1	325	2
2	26	1
2	73	2
2	101	1
2	138	1
2	162	1
2	208	2
2	252	-2
2	304	-2
3	9	1
3	27	1
3	83	1
3	86	1
3	126	1
3	164	1
3	250	2
3	309	-2
3	327	2
