1	1	1
2	2	-1
3	3	1
4	4	-1
5	5	1
6	6	-1
7	7	-1
8	8	1
9	9	-1
10	10	1
11	11	1
12	12	-1
13	13	-1
14	14	1
15	15	1
16	16	1
17	17	1
18	18	1
19	19	-3
20	20	-1
21	21	-1
22	22	1
23	23	-1
24	24	1
25	25	-1
26	26	1
27	27	-1
28	28	1
29	29	3
30	30	-1
31	31	1
32	32	1
33	33	1
34	34	-1
35	35	-1
36	36	1
37	37	-1
38	38	-1
39	39	-1
40	40	1
41	41	-1
42	42	1
43	43	3
44	44	-1
45	45	-3
46	46	1
47	47	-1
48	48	1
49	49	1
50	50	1
51	51	3
52	52	-1
53	53	-1
54	54	1
55	55	1
56	56	1
57	57	1
58	58	1
59	59	-1
60	60	-3
61	61	-1
62	62	1
63	63	-1
64	64	-1
65	65	-1
66	66	-3
67	67	-3
68	68	-1
69	69	-1
70	70	3
71	71	3
72	72	-3
73	73	3
74	74	-1
75	75	-3
76	76	1
77	77	1
78	78	1
79	79	1
80	80	1
81	81	1
82	82	-1
83	83	1
84	84	-1
85	85	-1
86	86	-1
87	87	1
88	88	-1
89	89	1
90	90	1
91	91	1
92	92	-1
93	93	-1
94	94	1
95	95	1
96	96	-1
97	97	1
98	98	-1
99	99	-3
100	100	-1
101	101	-1
102	102	-1
103	103	-1
104	104	-3
105	105	-1
106	106	-3
107	107	-1
108	108	-3
109	109	1
110	110	-3
111	111	3
112	112	1
113	113	-1
114	114	-3
115	115	-1
116	116	-3
117	117	-1
118	118	-3
119	119	-3
120	120	1
121	121	-1
122	122	1
123	123	1
124	124	-1
125	125	-3
126	126	-1
127	127	1
128	128	1
129	129	1
130	130	1
131	131	1
132	132	-1
133	133	1
134	134	-1
135	135	-1
136	136	3
137	137	-1
138	138	-1
139	139	-1
140	140	-1
141	141	-1
142	142	-1
143	143	-1
144	144	1
145	145	1
146	146	1
147	147	3
148	148	-3
149	149	-1
150	150	1
151	151	1
152	152	1
153	153	1
154	154	3
155	155	-1
156	156	-1
157	157	1
158	158	1
159	159	-3
160	160	-1
161	161	1
162	162	1
163	163	1
164	164	-3
165	165	1
166	166	1
167	167	-1
168	168	-1
169	169	1
170	170	-3
171	171	-1
172	172	-1
173	173	-1
174	174	1
175	175	-1
176	176	-1
177	177	1
178	178	-1
179	179	1
180	180	-1
181	181	-1
182	182	3
183	183	-1
184	184	1
185	185	1
186	186	1
187	187	-1
188	188	1
189	189	1
190	190	1
191	191	1
192	192	-3
193	193	1
194	194	1
195	195	1
196	196	-1
197	197	-3
198	198	1
199	199	1
200	200	-3
201	201	1
202	202	1
203	203	1
204	204	1
205	205	1
206	206	-1
207	207	1
208	208	-1
209	209	-1
210	210	-1
211	211	1
212	212	1
213	213	3
214	214	-1
215	215	3
216	216	-1
217	217	-3
218	218	-3
219	219	1
220	220	1
221	221	1
222	222	1
223	223	-1
224	224	-1
225	225	1
226	226	1
227	227	3
228	228	-1
229	229	-1
230	230	1
231	231	3
232	232	3
233	233	1
234	234	1
235	235	1
236	236	3
237	237	-1
238	238	-3
239	239	1
240	240	-1
241	241	1
242	242	3
243	243	-1
244	244	1
245	245	-1
246	246	-1
247	247	1
248	248	-1
249	249	1
250	250	1
251	251	-1
252	252	1
253	253	-1
254	254	-1
255	255	-1
256	256	-1
257	257	-3
258	258	1
259	259	-1
260	260	3
261	261	-3
262	262	1
263	263	3
264	264	1
265	265	1
266	266	-3
267	267	-1
268	268	-1
269	269	-1
270	270	-1
271	271	-1
272	272	1
273	273	-1
274	274	-3
275	275	3
276	276	-1
277	277	1
278	278	1
279	279	3
280	280	1
281	281	-1
282	282	-3
283	283	-1
284	284	-3
285	285	1
286	286	-1
287	287	1
288	288	-1
289	289	-3
290	290	-3
291	291	-1
292	292	1
293	293	1
294	294	1
295	295	-3
296	296	-1
297	297	1
298	298	1
299	299	-1
300	300	1
301	301	-3
302	302	1
303	303	3
304	304	1
305	305	1
306	306	-3
307	307	-1
308	308	-1
309	309	-1
310	310	-3
311	311	1
312	312	1
313	313	-3
314	314	-1
315	315	3
316	316	-1
317	317	-3
318	318	3
319	319	-1
320	320	-1
321	321	-3
322	322	-1
323	323	3
324	324	1
325	325	-1
326	326	-1
327	327	3
328	328	-3
329	329	-1
330	330	-1
331	331	3
332	332	-1
333	333	-1
334	334	1
335	335	-3
336	336	-1
337	337	1
338	338	-3
339	339	-1
340	340	-1
341	341	-1
342	342	1
343	343	-1
344	344	1
345	345	1
346	346	-1
347	347	3
348	348	1
349	349	1
350	350	3
351	351	-3
352	352	3
353	353	-3
354	354	-3
355	355	1
356	356	-1
357	357	1
358	358	3
359	359	-3
360	360	1
361	361	1
362	362	1
363	363	-1
364	364	1
365	365	1
366	366	-1
367	367	3
368	368	3
369	369	-1
370	370	-1
371	371	1
372	372	-3
373	373	-1
