1	1	3
2	2	3
3	3	1
4	4	-1
5	5	-1
6	6	1
7	7	-3
8	8	-1
9	9	-1
10	10	-1
11	11	1
12	12	1
13	13	-1
14	14	1
15	15	-1
16	16	3
17	17	3
18	18	-1
19	19	-1
20	20	1
21	21	3
22	22	3
23	23	1
24	24	1
25	25	1
26	26	1
27	27	3
28	28	1
29	29	3
30	30	1
31	31	-1
32	32	3
33	33	1
34	34	1
35	35	-1
36	36	-1
37	37	1
38	38	1
39	39	-1
40	40	-1
41	41	3
42	42	-1
43	43	1
44	44	-3
45	45	-1
46	46	-1
47	47	-1
48	48	-1
49	49	3
50	50	-1
51	51	1
52	52	-3
53	53	1
54	54	-1
55	55	-1
56	56	3
57	57	3
58	58	3
59	59	-3
60	60	-3
61	61	-1
62	62	-1
63	63	-1
64	64	-1
65	65	-1
66	66	-1
67	67	3
68	68	-1
69	69	-1
70	70	1
71	71	-3
72	72	1
73	73	-3
74	74	1
75	75	1
76	76	-1
77	77	-3
78	78	-3
79	79	1
80	80	1
81	81	1
82	82	3
83	83	-3
84	84	-1
85	85	1
86	86	-1
87	87	1
88	88	-3
89	89	1
90	90	-1
91	91	-3
92	92	-1
93	93	-1
94	94	1
95	95	-1
96	96	1
97	97	1
98	98	-1
99	99	-3
100	100	1
101	101	1
102	102	1
103	103	-1
104	104	-3
105	105	-3
106	106	-1
107	107	-1
108	108	-1
109	109	-1
110	110	1
111	111	1
112	112	3
113	113	1
114	114	1
115	115	-3
116	116	-1
117	117	3
118	118	1
119	119	3
120	120	1
121	121	-1
122	122	-1
123	123	1
124	124	1
125	125	1
126	126	-1
127	127	-3
128	128	-1
129	129	3
130	130	1
131	131	1
132	132	-3
133	133	-1
134	134	-1
135	135	1
136	136	3
137	137	1
138	138	1
139	139	-1
140	140	1
141	141	1
142	142	1
143	143	1
144	144	-3
145	145	-1
146	146	3
147	147	1
148	148	-3
149	149	-3
150	150	1
151	151	-3
152	152	-1
153	153	-1
154	154	3
155	155	-1
156	156	-3
157	157	-3
158	158	-3
159	159	-3
160	160	1
161	161	3
162	162	3
163	163	-1
164	164	3
165	165	3
166	166	-3
167	167	-1
168	168	-3
169	169	1
170	170	1
171	171	1
172	172	1
173	173	3
174	174	1
175	175	3
176	176	1
177	177	-1
178	178	-1
179	179	3
180	180	-1
181	181	-1
182	182	-1
183	183	1
184	184	-3
185	185	-3
186	186	-3
187	187	-1
188	188	-3
189	189	1
190	190	-3
191	191	3
192	192	-1
193	193	3
194	194	3
195	195	-1
196	196	-1
197	197	-1
198	198	1
199	199	1
200	200	-1
201	201	1
202	202	-3
203	203	-1
204	204	-1
205	205	3
206	206	-1
207	207	-1
208	208	1
209	209	-1
210	210	1
211	211	1
212	212	-1
213	213	-1
214	214	3
215	215	1
216	216	-3
217	217	-3
218	218	1
219	219	-3
220	220	-1
221	221	-1
222	222	-1
223	223	-1
224	224	1
225	225	1
226	226	3
227	227	1
228	228	-3
229	229	-1
230	230	1
231	231	-1
232	232	-1
233	233	1
234	234	1
235	235	-1
236	236	1
237	237	1
238	238	1
239	239	-3
240	240	-1
241	241	-3
242	242	-1
243	243	-1
244	244	-1
245	245	-1
246	246	1
247	247	1
248	248	1
249	249	-3
250	250	1
251	251	-1
252	252	-1
253	253	-1
254	254	1
255	255	1
256	256	1
257	257	2
258	258	-2
259	259	2
260	260	2
261	261	-2
